Min Age,Max Age,Profession,PartnerStatus,SA4 CODE,SA4 (Region name),Tot_inc_amt,Help_debt
15,19,Clerical and Administrative Workers,No,508,Western Australia - Outback,27150,1037
15,19,Clerical and Administrative Workers,No,509,Western Australia - Wheat Belt,19475,0
15,19,Clerical and Administrative Workers,No,601,Hobart,9805,0
15,19,Clerical and Administrative Workers,No,604,West and North West,13851,0
15,19,Clerical and Administrative Workers,No,701,Darwin,23034,1253
15,19,Clerical and Administrative Workers,No,801,Australian Capital Territory,63456,2856
15,19,Clerical and Administrative Workers,No,#N/A,Unknown/Overseas,8336,9368
15,19,Clerical and Administrative Workers,Yes,114,Southern Highlands and Shoalhaven,44274,698
15,19,Clerical and Administrative Workers,Yes,202,Bendigo,25706,15675
15,19,Clerical and Administrative Workers,Yes,213,Melbourne - West,77166,0
15,19,Clerical and Administrative Workers,Yes,604,West and North West,45983,0
15,19,Community and Personal Service Workers,No,101,Capital Region,23073,2284
15,19,Community and Personal Service Workers,No,102,Central Coast,15832,1121
15,19,Community and Personal Service Workers,No,103,Central West,22516,3313
15,19,Community and Personal Service Workers,No,104,Coffs Harbour - Grafton,20811,0
15,19,Community and Personal Service Workers,No,105,Far West and Orana,16145,0
15,19,Community and Personal Service Workers,No,106,Hunter Valley exc Newcastle,20164,2238
15,19,Community and Personal Service Workers,No,107,Illawarra,15883,3023
15,19,Community and Personal Service Workers,No,108,Mid North Coast,14279,0
15,19,Community and Personal Service Workers,No,109,Murray,16643,0
15,19,Community and Personal Service Workers,No,110,New England and North West,12372,1633
15,19,Community and Personal Service Workers,No,111,Newcastle and Lake Macquarie,12893,146
15,19,Community and Personal Service Workers,No,112,Richmond - Tweed,18286,305
15,19,Community and Personal Service Workers,No,113,Riverina,13994,1941
15,19,Community and Personal Service Workers,No,114,Southern Highlands and Shoalhaven,14658,0
15,19,Community and Personal Service Workers,No,115,Sydney - Baulkham Hills and Hawkesbury,18237,2738
15,19,Community and Personal Service Workers,No,116,Sydney - Blacktown,13591,936
15,19,Community and Personal Service Workers,No,117,Sydney - City and Inner South,5936,2325
15,19,Community and Personal Service Workers,No,118,Sydney - Eastern Suburbs,27307,957
15,19,Community and Personal Service Workers,No,119,Sydney - Inner South West,13724,1997
15,19,Community and Personal Service Workers,No,120,Sydney - Inner West,21644,2377
15,19,Community and Personal Service Workers,No,121,Sydney - North Sydney and Hornsby,22837,2216
15,19,Community and Personal Service Workers,No,122,Sydney - Northern Beaches,23396,739
15,19,Community and Personal Service Workers,No,123,Sydney - Outer South West,13325,2966
15,19,Community and Personal Service Workers,No,124,Sydney - Outer West and Blue Mountains,15217,461
15,19,Community and Personal Service Workers,No,125,Sydney - Parramatta,14824,1490
15,19,Community and Personal Service Workers,No,126,Sydney - Ryde,9531,0
15,19,Community and Personal Service Workers,No,127,Sydney - South West,18743,4801
15,19,Community and Personal Service Workers,No,128,Sydney - Sutherland,12127,1979
15,19,Community and Personal Service Workers,No,201,Ballarat,15454,0
15,19,Community and Personal Service Workers,No,202,Bendigo,16282,2011
15,19,Community and Personal Service Workers,No,203,Geelong,19900,1020
15,19,Community and Personal Service Workers,No,204,Hume,13691,1549
15,19,Community and Personal Service Workers,No,205,Latrobe - Gippsland,16264,1905
15,19,Community and Personal Service Workers,No,206,Melbourne - Inner,20430,2325
15,19,Community and Personal Service Workers,No,207,Melbourne - Inner East,9884,699
15,19,Community and Personal Service Workers,No,208,Melbourne - Inner South,17442,1720
15,19,Community and Personal Service Workers,No,209,Melbourne - North East,19701,2920
15,19,Community and Personal Service Workers,No,210,Melbourne - North West,17699,1070
15,19,Community and Personal Service Workers,No,211,Melbourne - Outer East,14822,1065
15,19,Community and Personal Service Workers,No,212,Melbourne - South East,21861,841
15,19,Community and Personal Service Workers,No,213,Melbourne - West,18903,2189
15,19,Community and Personal Service Workers,No,214,Mornington Peninsula,16690,1626
15,19,Community and Personal Service Workers,No,215,North West,1163,0
15,19,Community and Personal Service Workers,No,216,Shepparton,18288,0
15,19,Community and Personal Service Workers,No,217,Warrnambool and South West,17915,0
15,19,Community and Personal Service Workers,No,301,Brisbane - East,23931,3564
15,19,Community and Personal Service Workers,No,302,Brisbane - North,11272,1809
15,19,Community and Personal Service Workers,No,303,Brisbane - South,14778,5773
15,19,Community and Personal Service Workers,No,304,Brisbane - West,8350,1559
15,19,Community and Personal Service Workers,No,305,Brisbane Inner City,20090,2174
15,19,Community and Personal Service Workers,No,306,Cairns,15845,894
