State,Year,Month,Vacancies
VIC,2000,11,34500
VIC,2001,2,28800
VIC,2001,5,23300
VIC,2001,8,28100
VIC,2001,11,24700
VIC,2002,2,28100
VIC,2002,5,24900
VIC,2002,8,29800
VIC,2002,11,22000
VIC,2003,2,27200
VIC,2003,5,22900
VIC,2003,8,29300
VIC,2003,11,26900
VIC,2004,2,29000
VIC,2004,5,30700
VIC,2004,8,33500
VIC,2004,11,34100
VIC,2005,2,33000
VIC,2005,5,31600
VIC,2005,8,32800
VIC,2005,11,30200
VIC,2006,2,31600
VIC,2006,5,32800
VIC,2006,8,31600
VIC,2006,11,31600
VIC,2007,2,32100
VIC,2007,5,31800
VIC,2007,8,31600
VIC,2007,11,36100
VIC,2008,2,36200
VIC,2008,5,38500
VIC,2008,8,0
VIC,2008,11,0
VIC,2009,2,0
VIC,2009,5,0
VIC,2009,8,0
VIC,2009,11,32600
VIC,2010,2,33300
VIC,2010,5,36800
VIC,2010,8,40200
VIC,2010,11,46000
VIC,2011,2,47700
VIC,2011,5,40800
VIC,2011,8,41900
VIC,2011,11,38100
VIC,2012,2,40100
VIC,2012,5,32900
VIC,2012,8,36600
VIC,2012,11,38700
VIC,2013,2,31900
VIC,2013,5,33700
VIC,2013,8,31100
VIC,2013,11,30700
VIC,2014,2,25400
VIC,2014,5,30100
VIC,2014,8,32800
VIC,2014,11,33300
VIC,2015,2,35100
VIC,2015,5,38000
VIC,2015,8,38900
VIC,2015,11,40300
VIC,2016,2,47300
VIC,2016,5,39700
QLD,1979,5,0
QLD,1979,8,0
QLD,1979,11,0
QLD,1980,2,0
QLD,1980,5,0
QLD,1980,8,0
QLD,1980,11,0
QLD,1981,2,0
QLD,1981,5,0
QLD,1981,8,0
QLD,1981,11,0
QLD,1982,2,0
QLD,1982,5,0
QLD,1982,8,0
QLD,1982,11,0
QLD,1983,2,0
QLD,1983,5,0
QLD,1983,8,0
QLD,1983,11,5000
QLD,1984,2,5400
QLD,1984,5,5000
QLD,1984,8,5000
QLD,1984,11,5200
QLD,1985,2,8100
QLD,1985,5,5800
QLD,1985,8,8600
QLD,1985,11,8600
QLD,1986,2,10000
QLD,1986,5,5800
QLD,1986,8,5400
QLD,1986,11,6600
QLD,1987,2,7200
QLD,1987,5,5000
QLD,1987,8,6500
QLD,1987,11,5100
QLD,1988,2,8100
QLD,1988,5,8200
QLD,1988,8,9100
QLD,1988,11,10000
QLD,1989,2,12600
QLD,1989,5,13200
QLD,1989,8,12200
QLD,1989,11,11500
QLD,1990,2,9600
QLD,1990,5,8800
QLD,1990,8,9600
QLD,1990,11,7800
QLD,1991,2,7500
QLD,1991,5,5500
QLD,1991,8,5800
QLD,1991,11,6200
QLD,1992,2,6700
QLD,1992,5,6500
QLD,1992,8,6000
QLD,1992,11,6400
QLD,1993,2,6300
QLD,1993,5,6400
QLD,1993,8,9200
QLD,1993,11,8300
QLD,1994,2,8400
QLD,1994,5,8100
QLD,1994,8,17300
QLD,1994,11,12600
QLD,1995,2,12800
QLD,1995,5,8000
QLD,1995,8,12600
QLD,1995,11,9000
QLD,1996,2,9700
QLD,1996,5,9900
QLD,1996,8,12400
QLD,1996,11,12300
QLD,1997,2,16700
QLD,1997,5,16600
QLD,1997,8,23100
QLD,1997,11,21700
QLD,1998,2,19500
QLD,1998,5,21600
QLD,1998,8,22000
QLD,1998,11,16100
QLD,1999,2,20300
QLD,1999,5,12000
QLD,1999,8,13000
QLD,1999,11,14800
QLD,2000,2,16400
QLD,2000,5,17500
QLD,2000,8,13500
QLD,2000,11,13700
QLD,2001,2,12400
QLD,2001,5,15500
QLD,2001,8,16400
QLD,2001,11,14900
QLD,2002,2,16800
QLD,2002,5,11700
QLD,2002,8,22100
QLD,2002,11,21000
QLD,2003,2,19900
QLD,2003,5,19300
QLD,2003,8,24100
QLD,2003,11,24200
QLD,2004,2,18400
QLD,2004,5,25100
QLD,2004,8,27700
QLD,2004,11,28700
QLD,2005,2,35400
QLD,2005,5,34900
QLD,2005,8,33400
QLD,2005,11,24100
QLD,2006,2,32300
QLD,2006,5,36800
QLD,2006,8,39800
QLD,2006,11,38800
QLD,2007,2,38700
QLD,2007,5,35600
QLD,2007,8,38500
QLD,2007,11,37300
QLD,2008,2,38600
QLD,2008,5,41600
QLD,2008,8,0
QLD,2008,11,0
QLD,2009,2,0
QLD,2009,5,0
QLD,2009,8,0
QLD,2009,11,27900
QLD,2010,2,31600
QLD,2010,5,28500
QLD,2010,8,33400
QLD,2010,11,37400
QLD,2011,2,38300
QLD,2011,5,41600
QLD,2011,8,44600
QLD,2011,11,43400
QLD,2012,2,36100
QLD,2012,5,43100
QLD,2012,8,34800
QLD,2012,11,30700
QLD,2013,2,26000
QLD,2013,5,27200
QLD,2013,8,26200
QLD,2013,11,29900
QLD,2014,2,29100
QLD,2014,5,25400
QLD,2014,8,26900
QLD,2014,11,28200
QLD,2015,2,26400
QLD,2015,5,27500
QLD,2015,8,26800
QLD,2015,11,31900
QLD,2016,2,26000
QLD,2016,5,23000
SA,1979,5,0
SA,1979,8,0
SA,1979,11,0
SA,1980,2,0
SA,1980,5,0
SA,1980,8,0
SA,1980,11,0
SA,1981,2,0
SA,1981,5,0
SA,1981,8,0
SA,1981,11,0
SA,1982,2,0
SA,1982,5,0
SA,1982,8,0
SA,1982,11,0
SA,1983,2,0
SA,1983,5,0
SA,1983,8,0
SA,1983,11,2600
SA,1984,2,4200
SA,1984,5,2900
SA,1984,8,3300
SA,1984,11,2700
SA,1985,2,4900
SA,1985,5,4500
SA,1985,8,4600
SA,1985,11,5000
SA,1986,2,4000
SA,1986,5,3100
SA,1986,8,5400
SA,1986,11,4300
SA,1987,2,5200
SA,1987,5,4300
SA,1987,8,3900
SA,1987,11,3500
SA,1988,2,4400
SA,1988,5,3900
SA,1988,8,3500
SA,1988,11,4100
SA,1989,2,3100
SA,1989,5,4500
SA,1989,8,5000
SA,1989,11,4500
SA,1990,2,5100
SA,1990,5,4300
SA,1990,8,2500
SA,1990,11,2400
SA,1991,2,2300
SA,1991,5,1700
SA,1991,8,2400
SA,1991,11,2500
SA,1992,2,1800
SA,1992,5,1800
SA,1992,8,2300
SA,1992,11,2300
SA,1993,2,1800
SA,1993,5,2400
SA,1993,8,1900
SA,1993,11,3600
SA,1994,2,3400
SA,1994,5,2900
SA,1994,8,6000
SA,1994,11,5900
SA,1995,2,3100
SA,1995,5,4200
SA,1995,8,3200
SA,1995,11,1900
SA,1996,2,3500
SA,1996,5,3100
SA,1996,8,6600
SA,1996,11,3500
SA,1997,2,4900
SA,1997,5,4000
SA,1997,8,6300
SA,1997,11,4100
SA,1998,2,4300
SA,1998,5,3500
SA,1998,8,3800
SA,1998,11,6300
SA,1999,2,5400
SA,1999,5,4500
SA,1999,8,5100
SA,1999,11,6600
SA,2000,2,5900
SA,2000,5,5200
SA,2000,8,5600
SA,2000,11,5600
SA,2001,2,6600
SA,2001,5,5700
SA,2001,8,6600
SA,2001,11,6600
SA,2002,2,7000
SA,2002,5,7000
