State/Territory,Region Name,Industry,Industry Division,Employment by Industry - Total,Full-Time,Part-Time,Male,Female,Employment Distribution (%)
SA,South Australia,Financial and Insurance Services,K,21900,15700,6200,9100,12800,2.7
SA,South Australia,"Rental, Hiring and Real Estate Services",L,11900,8400,3400,6100,5800,1.5
SA,South Australia,"Professional, Scientific and Technical Services",M,55500,40500,15000,30900,24600,6.9
SA,South Australia,Administrative and Support Services,N,29000,14400,14600,14200,14700,3.6
SA,South Australia,Public Administration and Safety,O,57600,45700,11900,29100,28500,7.1
SA,South Australia,Education and Training,P,62200,37900,24300,19000,43200,7.7
SA,South Australia,Health Care and Social Assistance,Q,119400,62700,56800,26200,93200,14.8
SA,South Australia,Arts and Recreation Services,R,12300,5600,6600,7100,5100,1.5
SA,South Australia,Other Services,S,33400,22000,11400,17100,16300,4.1
WA,Western Australia,"Agriculture, Forestry and Fishing",A,27400,20600,6800,20200,7200,2.0
WA,Western Australia,Mining,B,104000,101300,2700,86300,17700,7.7
WA,Western Australia,Manufacturing,C,80600,65900,14700,57900,22700,6.0
WA,Western Australia,"Electricity, Gas, Water and Waste Services",D,14800,13300,1500,11400,3400,1.1
WA,Western Australia,Construction,E,149100,126900,22300,127300,21900,11.0
WA,Western Australia,Wholesale Trade,F,38100,31700,6400,27200,10900,2.8
WA,Western Australia,Retail Trade,G,137500,64100,73500,58700,78800,10.2
WA,Western Australia,Accommodation and Food Services,H,91800,36500,55300,40900,50900,6.8
WA,Western Australia,"Transport, Postal and Warehousing",I,71700,56800,14900,52800,18900,5.3
WA,Western Australia,Information Media and Telecommunications,J,16100,11600,4600,8800,7400,1.2
WA,Western Australia,Financial and Insurance Services,K,29700,21800,7900,11100,18600,2.2
WA,Western Australia,"Rental, Hiring and Real Estate Services",L,24700,17900,6800,12600,12100,1.8
WA,Western Australia,"Professional, Scientific and Technical Services",M,100400,76200,24200,62800,37600,7.4
WA,Western Australia,Administrative and Support Services,N,43400,25100,18200,20800,22500,3.2
WA,Western Australia,Public Administration and Safety,O,79000,60000,19000,37600,41400,5.9
WA,Western Australia,Education and Training,P,97100,56900,40200,27500,69600,7.2
WA,Western Australia,Health Care and Social Assistance,Q,157500,87300,70100,33300,124200,11.7
WA,Western Australia,Arts and Recreation Services,R,27000,14500,12500,14900,12100,2.0
WA,Western Australia,Other Services,S,59700,42300,17400,35700,24000,4.4
TAS,Tasmania,"Agriculture, Forestry and Fishing",A,13400,9800,3500,10100,3300,5.6
TAS,Tasmania,Mining,B,2600,2600,0,2200,400,1.1
TAS,Tasmania,Manufacturing,C,18300,15100,3200,14200,4100,7.6
TAS,Tasmania,"Electricity, Gas, Water and Waste Services",D,3500,3200,300,2800,700,1.5
TAS,Tasmania,Construction,E,20100,17200,2800,18400,1700,8.4
TAS,Tasmania,Wholesale Trade,F,5300,4400,900,4300,1000,2.2
TAS,Tasmania,Retail Trade,G,26600,13000,13600,12000,14600,11.1
TAS,Tasmania,Accommodation and Food Services,H,20700,7700,13000,7600,13100,8.6
TAS,Tasmania,"Transport, Postal and Warehousing",I,11200,9100,2100,9500,1600,4.7
TAS,Tasmania,Information Media and Telecommunications,J,3500,2700,800,2200,1300,1.5
TAS,Tasmania,Financial and Insurance Services,K,5300,4300,1100,2300,3000,2.2
TAS,Tasmania,"Rental, Hiring and Real Estate Services",L,4000,2500,1400,1700,2200,1.7
TAS,Tasmania,"Professional, Scientific and Technical Services",M,12400,9000,3400,7000,5300,5.2
TAS,Tasmania,Administrative and Support Services,N,5600,3100,2500,2200,3400,2.3
TAS,Tasmania,Public Administration and Safety,O,18900,14300,4600,9900,8900,7.9
TAS,Tasmania,Education and Training,P,19400,11500,8000,5900,13500,8.1
TAS,Tasmania,Health Care and Social Assistance,Q,35400,18300,17100,8000,27400,14.8
TAS,Tasmania,Arts and Recreation Services,R,4700,2600,2100,2900,1800,2.0
TAS,Tasmania,Other Services,S,8700,5700,3000,4300,4400,3.6
NT,Northern Territory,"Agriculture, Forestry and Fishing",A,900,700,200,700,200,0.7
NT,Northern Territory,Mining,B,6200,6100,100,5400,800,4.7
