SA4 Code,SA4 Name,Field,Number Of People
126,Sydney - Ryde,Information Technology,4581
127,Sydney - South West,Information Technology,3929
128,Sydney - Sutherland,Information Technology,2013
201,Ballarat,Information Technology,1020
202,Bendigo,Information Technology,857
203,Geelong,Information Technology,1680
204,Hume,Information Technology,641
205,Latrobe - Gippsland,Information Technology,862
206,Melbourne - Inner,Information Technology,11639
207,Melbourne - Inner East,Information Technology,7838
208,Melbourne - Inner South,Information Technology,7699
209,Melbourne - North East,Information Technology,6333
210,Melbourne - North West,Information Technology,3636
211,Melbourne - Outer East,Information Technology,6647
212,Melbourne - South East,Information Technology,11573
213,Melbourne - West,Information Technology,10989
214,Mornington Peninsula,Information Technology,1774
215,North West,Information Technology,325
216,Shepparton,Information Technology,264
217,Warrnambool and South West,Information Technology,273
301,Brisbane - East,Information Technology,1766
302,Brisbane - North,Information Technology,2506
303,Brisbane - South,Information Technology,5715
304,Brisbane - West,Information Technology,2932
305,Brisbane Inner City,Information Technology,4232
306,Cairns,Information Technology,830
307,Darling Downs - Maranoa,Information Technology,223
308,Fitzroy,Information Technology,761
309,Gold Coast,Information Technology,3426
310,Ipswich,Information Technology,2033
311,Logan - Beaudesert,Information Technology,1984
312,Mackay,Information Technology,439
313,Moreton Bay - North,Information Technology,1106
314,Moreton Bay - South,Information Technology,1679
315,Queensland - Outback,Information Technology,137
316,Sunshine Coast,Information Technology,1362
317,Toowoomba,Information Technology,728
318,Townsville,Information Technology,945
319,Wide Bay,Information Technology,759
401,Adelaide - Central and Hills,Information Technology,3150
402,Adelaide - North,Information Technology,3400
403,Adelaide - South,Information Technology,2799
404,Adelaide - West,Information Technology,2125
405,Barossa - Yorke - Mid North,Information Technology,219
406,South Australia - Outback,Information Technology,178
407,South Australia - South East,Information Technology,399
501,Bunbury,Information Technology,490
502,Mandurah,Information Technology,296
503,Perth - Inner,Information Technology,1934
504,Perth - North East,Information Technology,1932
505,Perth - North West,Information Technology,4790
506,Perth - South East,Information Technology,4743
507,Perth - South West,Information Technology,2918
508,Western Australia - Outback,Information Technology,585
509,Western Australia - Wheat Belt,Information Technology,303
601,Hobart,Information Technology,1941
602,Launceston and North East,Information Technology,709
603,South East,Information Technology,135
604,West and North West,Information Technology,400
701,Darwin,Information Technology,1029
702,Northern Territory - Outback,Information Technology,234
801,Australian Capital Territory,Information Technology,10438
101,Capital Region,Engineering & Related Technologies,10055
102,Central Coast,Engineering & Related Technologies,15097
103,Central West,Engineering & Related Technologies,10553
104,Coffs Harbour - Grafton,Engineering & Related Technologies,5726
105,Far West and Orana,Engineering & Related Technologies,4917
106,Hunter Valley exc Newcastle,Engineering & Related Technologies,18942
107,Illawarra,Engineering & Related Technologies,18774
108,Mid North Coast,Engineering & Related Technologies,8675
109,Murray,Engineering & Related Technologies,5240
110,New England and North West,Engineering & Related Technologies,7409
111,Newcastle and Lake Macquarie,Engineering & Related Technologies,23116
112,Richmond - Tweed,Engineering & Related Technologies,9181
113,Riverina,Engineering & Related Technologies,7261
114,Southern Highlands and Shoalhaven,Engineering & Related Technologies,7319
115,Sydney - Baulkham Hills and Hawkesbury,Engineering & Related Technologies,12978
116,Sydney - Blacktown,Engineering & Related Technologies,16857
117,Sydney - City and Inner South,Engineering & Related Technologies,10384
118,Sydney - Eastern Suburbs,Engineering & Related Technologies,9586
119,Sydney - Inner South West,Engineering & Related Technologies,24345
120,Sydney - Inner West,Engineering & Related Technologies,11193
121,Sydney - North Sydney and Hornsby,Engineering & Related Technologies,15715
122,Sydney - Northern Beaches,Engineering & Related Technologies,11080
123,Sydney - Outer South West,Engineering & Related Technologies,14571
124,Sydney - Outer West and Blue Mountains,Engineering & Related Technologies,17090
125,Sydney - Parramatta,Engineering & Related Technologies,19453
126,Sydney - Ryde,Engineering & Related Technologies,8674
127,Sydney - South West,Engineering & Related Technologies,17110
128,Sydney - Sutherland,Engineering & Related Technologies,14226
201,Ballarat,Engineering & Related Technologies,6783
202,Bendigo,Engineering & Related Technologies,6678
203,Geelong,Engineering & Related Technologies,12959
204,Hume,Engineering & Related Technologies,8445
205,Latrobe - Gippsland,Engineering & Related Technologies,14813
206,Melbourne - Inner,Engineering & Related Technologies,20525
207,Melbourne - Inner East,Engineering & Related Technologies,14513
208,Melbourne - Inner South,Engineering & Related Technologies,17330
209,Melbourne - North East,Engineering & Related Technologies,23400
210,Melbourne - North West,Engineering & Related Technologies,16965
211,Melbourne - Outer East,Engineering & Related Technologies,28720
212,Melbourne - South East,Engineering & Related Technologies,38293
213,Melbourne - West,Engineering & Related Technologies,33664
214,Mornington Peninsula,Engineering & Related Technologies,13839
215,North West,Engineering & Related Technologies,5792
216,Shepparton,Engineering & Related Technologies,5822
217,Warrnambool and South West,Engineering & Related Technologies,5311
301,Brisbane - East,Engineering & Related Technologies,13508
302,Brisbane - North,Engineering & Related Technologies,10372
303,Brisbane - South,Engineering & Related Technologies,17073
304,Brisbane - West,Engineering & Related Technologies,9556
305,Brisbane Inner City,Engineering & Related Technologies,12180
306,Cairns,Engineering & Related Technologies,12953
307,Darling Downs - Maranoa,Engineering & Related Technologies,5783
308,Fitzroy,Engineering & Related Technologies,16299
309,Gold Coast,Engineering & Related Technologies,23945
310,Ipswich,Engineering & Related Technologies,15496
311,Logan - Beaudesert,Engineering & Related Technologies,15975
312,Mackay,Engineering & Related Technologies,15391
313,Moreton Bay - North,Engineering & Related Technologies,10972
314,Moreton Bay - South,Engineering & Related Technologies,10685
315,Queensland - Outback,Engineering & Related Technologies,4770
316,Sunshine Coast,Engineering & Related Technologies,14803
317,Toowoomba,Engineering & Related Technologies,7079
318,Townsville,Engineering & Related Technologies,14246
319,Wide Bay,Engineering & Related Technologies,12820
401,Adelaide - Central and Hills,Engineering & Related Technologies,12982
402,Adelaide - North,Engineering & Related Technologies,22471
403,Adelaide - South,Engineering & Related Technologies,18609
404,Adelaide - West,Engineering & Related Technologies,11926
405,Barossa - Yorke - Mid North,Engineering & Related Technologies,5535
406,South Australia - Outback,Engineering & Related Technologies,5747
407,South Australia - South East,Engineering & Related Technologies,8190
501,Bunbury,Engineering & Related Technologies,10466
502,Mandurah,Engineering & Related Technologies,4992
503,Perth - Inner,Engineering & Related Technologies,9211
504,Perth - North East,Engineering & Related Technologies,14925
505,Perth - North West,Engineering & Related Technologies,31196
506,Perth - South East,Engineering & Related Technologies,30430
507,Perth - South West,Engineering & Related Technologies,25268
508,Western Australia - Outback,Engineering & Related Technologies,18896
509,Western Australia - Wheat Belt,Engineering & Related Technologies,6625
601,Hobart,Engineering & Related Technologies,9432
602,Launceston and North East,Engineering & Related Technologies,6845
603,South East,Engineering & Related Technologies,1692
604,West and North West,Engineering & Related Technologies,6072
701,Darwin,Engineering & Related Technologies,8047
702,Northern Territory - Outback,Engineering & Related Technologies,3623
801,Australian Capital Territory,Engineering & Related Technologies,14297
101,Capital Region,Architecture & Building,5059
102,Central Coast,Architecture & Building,7857
103,Central West,Architecture & Building,3605
104,Coffs Harbour - Grafton,Architecture & Building,3181
105,Far West and Orana,Architecture & Building,1767
106,Hunter Valley exc Newcastle,Architecture & Building,4367
107,Illawarra,Architecture & Building,6243
108,Mid North Coast,Architecture & Building,4667
109,Murray,Architecture & Building,2143
110,New England and North West,Architecture & Building,2977
111,Newcastle and Lake Macquarie,Architecture & Building,7773
112,Richmond - Tweed,Architecture & Building,5845
113,Riverina,Architecture & Building,2779
114,Southern Highlands and Shoalhaven,Architecture & Building,3316
115,Sydney - Baulkham Hills and Hawkesbury,Architecture & Building,4837
116,Sydney - Blacktown,Architecture & Building,4417
117,Sydney - City and Inner South,Architecture & Building,4976
118,Sydney - Eastern Suburbs,Architecture & Building,5327
119,Sydney - Inner South West,Architecture & Building,8303
120,Sydney - Inner West,Architecture & Building,4791
121,Sydney - North Sydney and Hornsby,Architecture & Building,5821
122,Sydney - Northern Beaches,Architecture & Building,6381
123,Sydney - Outer South West,Architecture & Building,4831
124,Sydney - Outer West and Blue Mountains,Architecture & Building,6135
125,Sydney - Parramatta,Architecture & Building,5873
126,Sydney - Ryde,Architecture & Building,2494
127,Sydney - South West,Architecture & Building,5321
128,Sydney - Sutherland,Architecture & Building,5776
201,Ballarat,Architecture & Building,3178
202,Bendigo,Architecture & Building,3113
203,Geelong,Architecture & Building,6688
204,Hume,Architecture & Building,3504
205,Latrobe - Gippsland,Architecture & Building,6275
206,Melbourne - Inner,Architecture & Building,11259
207,Melbourne - Inner East,Architecture & Building,5205
208,Melbourne - Inner South,Architecture & Building,7324
209,Melbourne - North East,Architecture & Building,9252
210,Melbourne - North West,Architecture & Building,5833
211,Melbourne - Outer East,Architecture & Building,12666
212,Melbourne - South East,Architecture & Building,11091
213,Melbourne - West,Architecture & Building,10126
214,Mornington Peninsula,Architecture & Building,7512
215,North West,Architecture & Building,2372
216,Shepparton,Architecture & Building,2188
217,Warrnambool and South West,Architecture & Building,2642
301,Brisbane - East,Architecture & Building,5527
302,Brisbane - North,Architecture & Building,4129
303,Brisbane - South,Architecture & Building,6287
304,Brisbane - West,Architecture & Building,3319
305,Brisbane Inner City,Architecture & Building,5560
306,Cairns,Architecture & Building,5417
307,Darling Downs - Maranoa,Architecture & Building,1887
308,Fitzroy,Architecture & Building,4448
309,Gold Coast,Architecture & Building,15026
310,Ipswich,Architecture & Building,4730
311,Logan - Beaudesert,Architecture & Building,6610
312,Mackay,Architecture & Building,3980
313,Moreton Bay - North,Architecture & Building,4941
314,Moreton Bay - South,Architecture & Building,4154
315,Queensland - Outback,Architecture & Building,1461
316,Sunshine Coast,Architecture & Building,9717
317,Toowoomba,Architecture & Building,2862
318,Townsville,Architecture & Building,4766
319,Wide Bay,Architecture & Building,5402
401,Adelaide - Central and Hills,Architecture & Building,4835
402,Adelaide - North,Architecture & Building,5636
403,Adelaide - South,Architecture & Building,6487
404,Adelaide - West,Architecture & Building,3454
405,Barossa - Yorke - Mid North,Architecture & Building,1388
406,South Australia - Outback,Architecture & Building,1305
407,South Australia - South East,Architecture & Building,2642
501,Bunbury,Architecture & Building,3786
502,Mandurah,Architecture & Building,1707
503,Perth - Inner,Architecture & Building,3191
504,Perth - North East,Architecture & Building,4058
505,Perth - North West,Architecture & Building,12065
506,Perth - South East,Architecture & Building,7750
507,Perth - South West,Architecture & Building,6794
508,Western Australia - Outback,Architecture & Building,4493
509,Western Australia - Wheat Belt,Architecture & Building,1985
601,Hobart,Architecture & Building,4721
602,Launceston and North East,Architecture & Building,2828
603,South East,Architecture & Building,783
604,West and North West,Architecture & Building,2265
701,Darwin,Architecture & Building,2479
702,Northern Territory - Outback,Architecture & Building,1341
801,Australian Capital Territory,Architecture & Building,6435
101,Capital Region,"Agriculture, Environmental & Related Studies",2787
102,Central Coast,"Agriculture, Environmental & Related Studies",1874
103,Central West,"Agriculture, Environmental & Related Studies",2926
104,Coffs Harbour - Grafton,"Agriculture, Environmental & Related Studies",1378
105,Far West and Orana,"Agriculture, Environmental & Related Studies",1809
106,Hunter Valley exc Newcastle,"Agriculture, Environmental & Related Studies",1974
107,Illawarra,"Agriculture, Environmental & Related Studies",1485
108,Mid North Coast,"Agriculture, Environmental & Related Studies",1732
109,Murray,"Agriculture, Environmental & Related Studies",1954
110,New England and North West,"Agriculture, Environmental & Related Studies",3047
111,Newcastle and Lake Macquarie,"Agriculture, Environmental & Related Studies",1755
112,Richmond - Tweed,"Agriculture, Environmental & Related Studies",2440
113,Riverina,"Agriculture, Environmental & Related Studies",2391
114,Southern Highlands and Shoalhaven,"Agriculture, Environmental & Related Studies",1239
